n,threads,schedule,chunk,tempo
1000,1,static,1000,0.002565
1000,2,static,1000,0.004635
1000,4,static,1000,0.007508
1000,8,static,1000,0.078521
1000,1,dynamic,1000,0.003958
1000,2,dynamic,1000,0.007800
1000,4,dynamic,1000,0.007177
1000,8,dynamic,1000,0.029258
1000,1,guided,1000,0.002492
1000,2,guided,1000,0.003785
1000,4,guided,1000,0.005291
1000,8,guided,1000,0.044432
5000,1,static,1000,0.027412
5000,2,static,1000,0.031761
5000,4,static,1000,0.032170
5000,8,static,1000,0.130784
5000,1,dynamic,1000,0.040091
5000,2,dynamic,1000,0.030614
5000,4,dynamic,1000,0.030934
5000,8,dynamic,1000,0.212494
5000,1,guided,1000,0.024819
5000,2,guided,1000,0.045655
5000,4,guided,1000,0.080309
5000,8,guided,1000,0.338240
10000,1,static,1000,0.100942
10000,2,static,1000,0.097335
10000,4,static,1000,0.104487
10000,8,static,1000,0.245070
10000,1,dynamic,1000,0.102929
10000,2,dynamic,1000,0.158080
10000,4,dynamic,1000,0.089750
10000,8,dynamic,1000,0.361757
10000,1,guided,1000,0.115686
10000,2,guided,1000,0.162451
10000,4,guided,1000,0.076855
10000,8,guided,1000,0.289201
50000,1,static,1000,2.488167
50000,2,static,1000,1.411843
50000,4,static,1000,1.157460
50000,8,static,1000,1.453687
50000,1,dynamic,1000,2.534013
50000,2,dynamic,1000,1.717033
50000,4,dynamic,1000,0.967000
50000,8,dynamic,1000,1.360760
50000,1,guided,1000,2.386103
50000,2,guided,1000,1.419817
50000,4,guided,1000,1.074450
50000,8,guided,1000,1.564870
100000,1,static,1000,10.009200
100000,2,static,1000,5.933467
100000,4,static,1000,4.229700
100000,8,static,1000,6.532533
100000,1,dynamic,1000,11.269200
100000,2,dynamic,1000,6.248667
100000,4,dynamic,1000,3.907033
100000,8,dynamic,1000,4.445167
100000,1,guided,1000,9.707733
100000,2,guided,1000,5.333633
100000,4,guided,1000,3.837667
100000,8,guided,1000,4.567400
